	5C_305_ENm008_REV_1|hg18|chr16:1-5693	5C_305_ENm008_REV_6|hg18|chr16:11138-15091	5C_305_ENm008_REV_10|hg18|chr16:29779-44231	5C_305_ENm008_REV_11|hg18|chr16:44231-50868	5C_305_ENm008_REV_12|hg18|chr16:50868-52846	5C_305_ENm008_REV_13|hg18|chr16:52846-55911	5C_305_ENm008_REV_15|hg18|chr16:56690-64056	5C_305_ENm008_REV_17|hg18|chr16:65723-74448	5C_305_ENm008_REV_21|hg18|chr16:87749-90248	5C_305_ENm008_REV_26|hg18|chr16:104687-109838	5C_305_ENm008_REV_28|hg18|chr16:120933-131220	5C_305_ENm008_REV_31+32|hg18|chr16:147782-167103	5C_305_ENm008_REV_33|hg18|chr16:167103-171769	5C_305_ENm008_REV_34|hg18|chr16:171769-185994	5C_305_ENm008_REV_37|hg18|chr16:192185-203353	5C_305_ENm008_REV_38|hg18|chr16:203353-217802	5C_305_ENm008_REV_39|hg18|chr16:217802-225341	5C_305_ENm008_REV_43|hg18|chr16:239095-247214	5C_305_ENm008_REV_45|hg18|chr16:260279-277942	5C_305_ENm008_REV_59|hg18|chr16:353009-360924	5C_305_ENm008_REV_60|hg18|chr16:360924-372670	5C_305_ENm008_REV_62|hg18|chr16:376971-380160	5C_305_ENm008_REV_65|hg18|chr16:402437-418222	5C_305_ENm008_REV_72|hg18|chr16:454365-483412	5C_305_ENm008_REV_74|hg18|chr16:483472-496513
5C_305_ENm008_FOR_47|hg18|chr16:286059-289198	33	107	16	155	27	82	126	91	128	265	411	125	39	555	528	383	47	628	217	111	61	174	7	49	30
5C_305_ENm008_FOR_48|hg18|chr16:289198-303867	35	175	1	325	29	118	142	219	175	619	520	238	129	769	810	324	85	1146	293	84	67	267	12	112	66
5C_305_ENm008_FOR_49|hg18|chr16:303867-310528	66	240	37	325	96	159	169	186	205	510	538	197	97	960	908	486	120	1121	197	100	107	342	23	105	73
5C_305_ENm008_FOR_50|hg18|chr16:310528-314538	72	348	3	371	35	63	149	178	170	660	446	173	112	733	950	517	64	967	158	93	80	356	15	133	37
5C_305_ENm008_FOR_51|hg18|chr16:314538-327240	31	79	4	176	33	42	71	91	140	278	152	77	41	301	332	164	59	436	71	55	47	133	6	36	40
5C_305_ENm008_FOR_53|hg18|chr16:331940-332109	170	121	2	51	1	3	58	46	78	45	122	52	2	186	113	88	19	236	13	8	10	71	2	38	15
5C_305_ENm008_FOR_54|hg18|chr16:332109-334889	71	173	8	205	25	72	125	172	199	419	328	147	118	607	612	448	56	717	131	92	142	257	24	64	59
5C_305_ENm008_FOR_55|hg18|chr16:334889-335401	10	132	0	164	29	13	48	29	57	183	171	39	33	326	341	229	26	315	27	78	33	124	3	54	24
5C_305_ENm008_FOR_57|hg18|chr16:346310-352385	26	117	7	156	16	19	108	19	85	371	141	6	21	193	315	117	26	169	13	142	40	182	3	53	18
5C_305_ENm008_FOR_58|hg18|chr16:352385-353009	1	17	0	31	0	4	23	8	23	46	32	38	32	57	68	43	0	34	5	50	72	15	0	8	0
5C_305_ENm008_FOR_66|hg18|chr16:418222-421291	61	141	7	190	36	81	130	106	92	269	246	149	37	406	263	240	62	387	44	109	97	473	281	311	136
5C_305_ENm008_FOR_67|hg18|chr16:421291-433293	43	113	1	130	7	6	45	66	104	233	157	80	21	275	277	130	32	181	37	61	68	333	46	188	93
5C_305_ENm008_FOR_69|hg18|chr16:441045-445126	40	96	0	102	18	63	75	84	75	155	182	61	29	264	256	125	11	247	33	78	102	297	63	217	150
5C_305_ENm008_FOR_70|hg18|chr16:445126-447073	47	73	0	139	8	49	79	69	151	140	109	60	35	200	252	112	33	176	48	22	43	208	52	276	137
5C_305_ENm008_FOR_71|hg18|chr16:447073-454365	16	77	10	155	17	33	50	73	98	152	229	48	33	239	267	102	11	171	46	34	38	250	37	201	189
5C_305_ENm008_FOR_73|hg18|chr16:483412-483472	7	41	0	24	1	5	21	24	20	66	31	43	11	76	65	24	2	32	0	14	17	65	8	339	79
5C_305_ENm008_FOR_75|hg18|chr16:496513-499411	40	152	7	210	25	80	115	80	133	253	286	48	43	321	292	181	8	255	42	63	81	403	30	484	782
