	5C_305_ENm008_REV_1|hg18|chr16:1-5693	5C_305_ENm008_REV_6|hg18|chr16:11138-15091	5C_305_ENm008_REV_10|hg18|chr16:29779-44231	5C_305_ENm008_REV_11|hg18|chr16:44231-50868	5C_305_ENm008_REV_12|hg18|chr16:50868-52846	5C_305_ENm008_REV_13|hg18|chr16:52846-55911	5C_305_ENm008_REV_15|hg18|chr16:56690-64056	5C_305_ENm008_REV_17|hg18|chr16:65723-74448	5C_305_ENm008_REV_21|hg18|chr16:87749-90248	5C_305_ENm008_REV_26|hg18|chr16:104687-109838	5C_305_ENm008_REV_28|hg18|chr16:120933-131220	5C_305_ENm008_REV_31+32|hg18|chr16:147782-167103	5C_305_ENm008_REV_33|hg18|chr16:167103-171769	5C_305_ENm008_REV_34|hg18|chr16:171769-185994	5C_305_ENm008_REV_37|hg18|chr16:192185-203353	5C_305_ENm008_REV_38|hg18|chr16:203353-217802	5C_305_ENm008_REV_39|hg18|chr16:217802-225341	5C_305_ENm008_REV_43|hg18|chr16:239095-247214	5C_305_ENm008_REV_45|hg18|chr16:260279-277942	5C_305_ENm008_REV_59|hg18|chr16:353009-360924	5C_305_ENm008_REV_60|hg18|chr16:360924-372670	5C_305_ENm008_REV_62|hg18|chr16:376971-380160	5C_305_ENm008_REV_65|hg18|chr16:402437-418222	5C_305_ENm008_REV_72|hg18|chr16:454365-483412	5C_305_ENm008_REV_74|hg18|chr16:483472-496513
5C_305_ENm008_FOR_29|hg18|chr16:131220-134334	92	38	0	132	2	71	108	142	192	952	6245	444	126	270	200	38	79	105	33	7	5	8	4	3	0
5C_305_ENm008_FOR_35|hg18|chr16:185994-189074	16	11	0	126	39	52	206	108	93	131	88	223	37	10810	2618	601	106	293	34	12	1	26	2	21	6
5C_305_ENm008_FOR_42|hg18|chr16:237363-239095	1	2	0	29	13	0	18	58	13	46	22	28	0	207	431	249	60	11948	31	7	0	30	0	0	16
5C_305_ENm008_FOR_47|hg18|chr16:286059-289198	0	0	0	13	0	10	35	7	0	17	24	53	0	132	72	71	13	136	267	10	41	14	4	35	0
5C_305_ENm008_FOR_48|hg18|chr16:289198-303867	26	28	0	115	5	9	43	35	62	91	19	49	0	322	384	234	61	590	476	50	30	75	4	28	26
5C_305_ENm008_FOR_49|hg18|chr16:303867-310528	28	19	0	77	0	27	34	19	45	124	98	50	0	291	529	263	100	329	240	24	27	74	7	71	55
5C_305_ENm008_FOR_50|hg18|chr16:310528-314538	0	11	0	94	25	11	41	9	20	35	23	42	0	141	250	155	42	350	133	34	11	70	5	24	6
5C_305_ENm008_FOR_51|hg18|chr16:314538-327240	7	2	0	38	9	17	13	18	0	30	15	8	1	78	121	33	23	95	39	27	10	27	0	29	6
5C_305_ENm008_FOR_53|hg18|chr16:331940-332109	129	91	0	46	12	0	53	57	33	59	30	0	11	165	125	87	6	173	33	22	1	53	3	31	0
5C_305_ENm008_FOR_54|hg18|chr16:332109-334889	69	1	0	57	0	38	41	48	40	25	0	18	43	129	256	81	0	147	59	4	19	41	0	2	45
5C_305_ENm008_FOR_55|hg18|chr16:334889-335401	1	26	0	5	17	1	21	7	0	25	16	15	0	76	75	49	9	42	19	15	0	11	0	13	0
5C_305_ENm008_FOR_57|hg18|chr16:346310-352385	0	0	0	21	0	0	33	14	0	21	17	0	0	24	65	23	16	37	0	58	7	23	0	21	0
5C_305_ENm008_FOR_58|hg18|chr16:352385-353009	1	0	0	21	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	15	11	0	0	27	0
5C_305_ENm008_FOR_66|hg18|chr16:418222-421291	10	8	0	19	0	0	12	10	6	20	32	34	12	34	49	52	0	65	10	25	35	125	621	172	102
5C_305_ENm008_FOR_67|hg18|chr16:421291-433293	9	0	0	14	0	5	22	11	5	13	6	15	0	76	69	29	0	58	7	14	19	90	43	170	42
5C_305_ENm008_FOR_69|hg18|chr16:441045-445126	0	4	0	12	1	4	7	29	11	3	9	0	1	1	36	36	3	46	13	0	4	36	40	166	63
5C_305_ENm008_FOR_70|hg18|chr16:445126-447073	0	9	0	1	0	0	5	0	0	16	0	8	6	26	24	14	0	45	10	1	23	67	10	169	53
5C_305_ENm008_FOR_71|hg18|chr16:447073-454365	0	6	0	22	6	2	4	24	14	10	47	0	1	42	38	54	14	56	21	20	30	77	39	521	182
5C_305_ENm008_FOR_73|hg18|chr16:483412-483472	22	23	0	0	0	0	18	0	0	4	0	0	0	0	23	10	0	44	11	7	21	1	0	484	216
5C_305_ENm008_FOR_75|hg18|chr16:496513-499411	17	9	0	33	0	5	53	50	40	17	0	10	6	97	68	67	1	31	0	2	7	133	36	386	2949
